string,prefix,word,sep,pos,year,rel_freq
ultra pour,ultra,pour,ESPACE,Adv_Nom,1808,0.0070004894882259965
superfin,super,fin,FUSION,Adj_Nom_Adv,1809,0.4753812113625998
superfines,super,fines,FUSION,Adj_Nom,1809,0.35653590852194983
superfins,super,fins,FUSION,Adj_Nom,1809,0.22184456530254654
supersaturation,super,saturation,FUSION,Nom,1809,0.015846040378753326
superville,super,ville,FUSION,Nom,1809,0.007923020189376663
extrafin,extra,fin,FUSION,Adj_Nom_Adv,1810,0.00815800169683172
superfin,super,fin,FUSION,Adj_Nom_Adv,1810,0.8565901781673306
superfines,super,fines,FUSION,Adj_Nom,1810,1.28080626640258
superfins,super,fins,FUSION,Adj_Nom,1810,0.16316003393663442
supernaturel,super,naturel,FUSION,Adj_Nom,1810,0.01631600339366344
supernaturelle,super,naturelle,FUSION,Adj_Nom,1810,0.03263200678732688
supervieille,super,vieille,FUSION,Adj_Nom,1810,0.01631600339366344
superville,super,ville,FUSION,Nom,1810,0.08973801866514894
extra - fines,extra,fines,TIRET,Adj_Nom,1810,0.00815800169683172
extradense,extra,dense,FUSION,Adj,1811,0.009072704544282724
hypercomplexes,hyper,complexes,FUSION,Vrb_Nom_Adj,1811,0.009072704544282724
hypercritiques,hyper,critiques,FUSION,Vrb_Nom_Adj,1811,0.04536352272141361
hyperelliptiques,hyper,elliptiques,FUSION,Adj,1811,0.009072704544282724
superfin,super,fin,FUSION,Adj_Nom_Adv,1811,0.3084719545056126
superfines,super,fines,FUSION,Adj_Nom,1811,0.06350893180997906
superfins,super,fins,FUSION,Adj_Nom,1811,0.02721811363284817
ultramicroscope,ultra,microscope,FUSION,Nom,1811,0.009072704544282724
ultrapressions,ultra,pressions,FUSION,Vrb_Nom,1811,0.018145409088565448
super fine,super,fine,ESPACE,Adj_Nom,1811,0.009072704544282724
ultra - pressions,ultra,pressions,TIRET,Vrb_Nom,1811,0.04536352272141361
hypercritiques,hyper,critiques,FUSION,Vrb_Nom_Adj,1812,0.01832995185436516
superfin,super,fin,FUSION,Adj_Nom_Adv,1812,0.2932792296698425
superfines,super,fines,FUSION,Adj_Nom,1812,0.07331980741746064
superfins,super,fins,FUSION,Adj_Nom,1812,0.12830966298055613
supersaturation,super,saturation,FUSION,Nom,1812,0.06415483149027806
ultra - révolutionnaire,ultra,révolutionnaire,TIRET,Adj_Nom,1812,0.00916497592718258
extrafins,extra,fins,FUSION,Adj_Nom,1813,0.02009995223849349
hyperorganique,hyper,organique,FUSION,Adj,1813,0.02009995223849349
